idno,cntry,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,anctry1,anctry2
66771,ME,2.0,2.0,2.0,1.5,9.0,7.0,Albanian nfs,No second ancestry* 
66778,ME,2.0,2.0,2.0,0.9000000000000004,6.0,6.0,Serbian nfs,No second ancestry* 
66790,ME,1.0,2.0,2.0,1.5,3.0,6.0,Montenegrin nfs,No second ancestry* 
66798,ME,1.0,1.0,1.0,2.1,6.0,5.0,Montenegrin nfs,No second ancestry* 
66844,ME,4.0,4.0,4.0,1.5,5.0,0.0,Serbian nfs,No second ancestry* 
66915,ME,2.0,2.0,2.0,1.5,4.0,6.0,Montenegrin nfs,No second ancestry* 
66934,ME,1.0,2.0,3.0,1.7999999999999998,3.0,7.0,Serbian nfs,Yugoslav
66938,ME,2.0,3.0,3.0,1.5,6.0,6.0,Montenegrin nfs,No second ancestry* 
66955,ME,2.0,2.0,3.0,1.5,3.0,4.0,Montenegrin nfs,No second ancestry* 
66966,ME,2.0,2.0,2.0,0.9000000000000004,7.0,6.0,Montenegrin nfs,No second ancestry* 
66974,ME,4.0,4.0,4.0,3.0,6.0,5.0,Albanian nfs,No second ancestry* 
67028,ME,2.0,2.0,2.0,1.2000000000000002,6.0,7.0,Serbian nfs,No second ancestry* 
67038,ME,2.0,3.0,2.0,1.2000000000000002,8.0,2.0,Serbian nfs,No second ancestry* 
67074,ME,2.0,1.0,2.0,1.7999999999999998,5.0,5.0,Montenegrin nfs,No second ancestry* 
67075,ME,2.0,2.0,2.0,2.4,3.0,3.0,Montenegrin nfs,No second ancestry* 
67168,ME,2.0,3.0,3.0,0.9000000000000004,5.0,4.0,Montenegrin nfs,No second ancestry* 
67169,ME,1.0,3.0,1.0,2.1,3.0,6.0,Bosniak/Bosnian,No second ancestry* 
67253,ME,2.0,2.0,2.0,1.2000000000000002,5.0,5.0,Serbian nfs,No second ancestry* 
67269,ME,2.0,3.0,3.0,2.1,3.0,0.0,Serbian nfs,No second ancestry* 
